127.0.0.1 - - [31/Jul/2018:01:24:18 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/templates/modelSystem.xhtml HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 93285
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css;jsessionid=931B3FCB503941C4B76E22B963E553CE?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:24:20 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/templates/modelSystem.xhtml HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [31/Jul/2018:01:34:05 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 200 93285
