127.0.0.1 - - [29/Aug/2018:00:10:36 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:49 -0300] "GET /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 35698
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:49 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:49 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:49 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 93285
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [29/Aug/2018:00:10:50 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js;jsessionid=627DFE85F15030A6B5AAD0639CB0717D?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
