127.0.0.1 - - [08/Sep/2018:13:42:09 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 19902
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:32 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:33 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 19905
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:35 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:36 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:36 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:36 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 35053
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:37 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/pages/produto.xhtml HTTP/1.1" 200 19908
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:41 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 35053
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:48 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:57 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 16741
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:42:59 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 16594
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:02 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 10126
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:04 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 16664
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:04 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 16664
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:06 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:06 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-bg_flat_0_aaaaaa_40x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:09 -0300] "POST /Drogaria/faces/pages/fabricante.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Sep/2018:13:43:11 -0300] "GET /Drogaria/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 200 4369
